CO_IES,Instituicao,Sigla,CO_CURSO,NO_CURSO,Municipio,UF,TP_SEXO,NU_IDADE,QE_I01,QE_I02,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,NT_GER
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,29,C,B,B,E,D,E,A,A,A,E,D,B,D,C,A,A,A,B,B,A,23,B,A,A,49.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,21,B,B,B,B,D,D,A,D,A,E,E,B,E,F,D,A,A,B,A,A,23,B,A,B,78.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,26,D,B,C,B,D,E,A,A,A,D,D,B,C,C,A,A,A,B,A,A,23,B,A,A,67.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,22,C,C,C,C,D,B,A,D,A,F,F,B,D,C,C,A,A,B,A,A,23,B,A,A,58.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,25,C,A,B,E,C,B,A,A,A,D,D,B,D,F,D,A,A,B,B,A,23,B,A,B,54.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,21,C,B,B,C,D,C,A,F,A,D,F,B,C,C,A,A,A,E,A,A,23,B,A,B,64.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,23,C,D,B,E,D,C,A,D,A,E,E,B,D,E,C,A,A,E,A,A,23,B,A,B,37.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,22,C,B,B,C,D,D,A,A,A,B,B,B,D,B,D,A,A,B,A,A,23,B,A,A,69.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,27,C,B,C,D,C,C,A,D,A,C,D,B,C,B,A,A,A,A,A,A,23,B,A,B,61.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,22,C,B,D,D,D,B,A,D,A,D,D,B,C,B,A,H,A,C,A,A,23,E,A,B,55.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,23,B,B,B,B,D,D,A,D,A,E,E,B,F,F,A,A,A,B,B,D,23,A,B,B,68.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,22,C,B,C,D,C,D,A,A,A,E,D,B,D,E,C,A,A,B,A,A,23,B,A,B,55.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,23,A,E,E,D,E,E,A,A,A,D,D,B,E,B,A,A,A,B,A,A,23,B,A,B,70.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,24,C,A,B,A,D,C,A,C,A,E,E,B,D,C,A,A,A,B,B,A,23,B,A,B,41.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,23,B,B,C,D,D,B,A,A,A,F,D,B,B,E,D,A,A,E,B,A,21,B,A,B,48.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,F,23,B,B,B,B,D,B,A,A,A,D,E,B,C,F,D,A,A,B,A,A,23,B,A,B,29.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,28,A,E,C,D,D,E,A,A,A,D,B,B,B,B,D,A,A,D,B,A,23,B,A,A,68.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,25,B,B,C,E,D,E,A,D,A,D,E,A,A,B,E,A,A,B,A,A,23,B,A,B,58.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,F,22,B,B,B,D,D,C,A,C,A,D,B,B,D,A,A,A,A,E,A,C,23,A,B,A,38.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,27,C,B,D,E,E,B,A,D,A,E,E,B,D,E,E,A,A,E,B,A,23,B,A,A,50.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,22,C,B,B,E,D,C,A,A,A,B,D,B,D,D,A,A,A,F,A,A,23,B,A,B,75.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,26,B,B,D,A,D,D,A,A,A,D,E,B,E,E,A,A,A,A,A,A,23,B,A,B,62.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,23,C,B,B,A,D,C,A,D,A,C,D,B,C,E,D,H,A,D,A,A,23,B,A,B,58.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,21,B,A,C,B,D,D,A,D,A,D,D,B,D,A,A,A,A,D,A,B,23,A,B,D,72.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,27,D,B,C,C,D,C,A,D,A,D,C,B,D,D,B,A,A,D,A,A,23,B,A,B,19.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,F,22,B,B,C,A,D,D,A,A,A,E,E,B,C,F,A,A,A,D,A,A,23,B,A,B,68.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,F,21,C,A,B,E,D,D,A,A,A,E,E,B,C,E,A,A,A,B,A,A,23,B,A,B,71.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,28,B,B,B,B,D,D,A,A,A,B,B,B,F,E,A,J,A,B,A,A,23,B,A,B,40.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,23,C,B,C,D,C,C,A,A,A,E,E,B,F,F,D,A,A,E,B,A,23,B,A,B,73.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,23,B,B,B,B,E,D,A,D,A,E,F,B,D,F,A,G,A,B,A,A,23,B,A,B,64.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,22,C,B,C,B,D,C,A,A,A,E,E,B,C,D,A,A,A,E,A,A,23,E,A,B,59.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,26,C,B,A,D,D,D,A,D,A,E,F,B,D,E,A,A,A,A,A,A,23,B,A,B,62.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,23,B,A,A,E,D,D,A,D,A,D,D,B,C,B,A,A,A,B,A,E,23,A,B,B,69.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,22,C,B,C,B,C,D,A,D,A,D,D,B,B,B,B,A,A,A,A,A,23,A,A,B,50.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,30,C,A,B,A,D,D,B,D,A,D,D,C,B,D,E,A,A,E,A,A,23,A,A,F,58.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,22,C,A,B,A,E,D,A,D,A,A,D,A,A,C,A,A,A,F,A,D,23,A,A,A,74.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,21,C,B,C,B,D,C,A,D,A,B,E,B,E,B,A,A,A,E,A,D,23,A,A,A,59.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,24,C,C,D,A,D,D,A,A,A,E,E,B,D,F,A,A,A,F,B,A,23,B,A,B,56.0
583,UNIVERSIDADE FEDERAL DO CEARÁ (UFC),UFC,13980,CIÊNCIA DA COMPUTAÇÃO,Fortaleza,CE,M,23,C,C,C,C,C,C,A,D,A,D,F,A,A,B,D,A,A,F,A,A,23,B,A,B,22.0
