CO_IES,NO_IES,Sigla,CO_CURSO,NO_MUNICIPIO_CURSO,CO_UF_CURSO,CONCEITO_ENADE
548,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,11452,São Luís,MA,4
5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,513,Teresina,PI,3
583,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,13980,Fortaleza,CE,5
583,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,1270596,Quixadá,CE,5
570,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,12313,Natal,RN,5
589,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,91262,Mossoró,RN,4
579,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,13401,João Pessoa,PB,4
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,13446,Campina Grande,PB,5
580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,13595,Recife,PE,5
587,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,118468,Garanhuns,PE,4
587,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,1102628,Recife,PE,4
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,13216,Maceió,AL,4
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,101942,Arapiraca,AL,3
3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,317,São Cristóvão,SE,4
578,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,13277,Salvador,BA,4
